type,people,saying
逆境／痛苦,伊比鳩魯,一切幸福都絕非沒有憂慮和煩惱，而一切逆境也絕非沒有慰籍與希望。
逆境／痛苦,伊比鳩魯,快樂沒有本來就是壞的，但是有些快樂的產生者卻帶來了比快樂大許多倍的煩擾。
自我實現,尼采,如果你想走到高處，就要使用自己的兩條腿！不要讓別人把你抬到高處；不要坐在別人的背上和頭上。
自我實現,尼采,習慣會使我們的雙手伶俐而頭腦笨拙。
自我實現,尼采,頑固不化比謊言更是真理的敵人。
自我實現,尼采,誰要學習飛翔，必須先學習站立、奔跑、跳躍和舞蹈：人無法從飛翔中學會飛翔！
自我實現,尼采,誰終將聲震人間，必長久深自緘默；誰終將點燃閃電，必長久如雲漂泊。
自我實現,尼采,一棵樹要長得更高，接受更多的光明，那麼它的根就必須更深入黑暗——深入惡中。
自我實現,尼采,千萬不要忘記。我們飛翔得越高，我們在那些不能飛翔的人眼中的形象越是渺小。
自我實現,蘇格拉底,每個人身上都有太陽，主要是如何讓它發光。
自我實現,柏拉圖,耐心是一切聰明才智的基礎。
自我實現,康德,誠實比一切智謀更好，而且它是智謀的基本條件。
自我實現,笛卡兒,懷疑是智慧的源頭。
自我實現,黑格爾,理想的人物不僅要在物質需要的滿足上，還要在精神旨趣的滿足上得到表現。
自我實現,黑格爾,我們可以斷言，沒有激情，任何偉大的事業都不能完成。
自我實現,培根,知識就是力量。
自我實現,培根,合理安排時間就是節約時間。
自我實現,杜斯妥也夫斯基,首先是最崇高的思想，其次才是金錢；光有金錢而沒有最崇高的思想的社會是會崩潰的。
自我認識／省察,沙特,行動吧，在行動的過程中就形成了自身，人是自己行動的結果，此外什麼都不是。
自我認識／省察,尼采,在認識一切事物之後，人才能認識自己，因為事物僅僅是人的界限。
自我認識／省察,尼采,生活是一面鏡子，我們努力追求的第一件事，就是從中辨認出自己。
自我認識／省察,尼采,你的良知在說什麼？——你要成為你自己。
自我認識／省察,尼采,與怪物戰鬥的人，應當小心自己不要成為怪物。當你長久凝視深淵時，深淵也在凝視你。
自我認識／省察,尼采,聰明的人只要能掌握自己，便什麽也不會失去。
自我認識／省察,尼采,高貴的靈魂，是自己尊敬自己。
自我認識／省察,尼采,千萬不要自欺欺人，對自己說謊，要對自己誠實，了解自己到底是個什麼樣的人，有什麼癖好，什麼想法，會做出什麼樣的反應。為什麼一定要了解自己呢？因為要是不了解自己，就無法感受到真正的愛。為了愛人，也為了被愛，首先就是了解自己。要是連自己都不了解，又如何能了解別人呢？
自我認識／省察,尼采,常常談論自己的人，往往只是為了隱藏自己。
自我認識／省察,柏拉圖,不知道自己的無知，乃是雙倍的無知。
自我認識／省察,柏拉圖,智者說話，是因為他們有話要說；愚者說話，則是因為他們想說。
自我認識／省察,蘇格拉底,原來這個世界上有這麼多我不需要的東西。
自我認識／省察,蘇格拉底,未經審視的生活是不值得過的。
自我認識／省察,蘇格拉底,想左右天下的人，須先能左右自己。
自我認識／省察,蘇格拉底,知道的越多，才知知道的越少。
自我認識／省察,亞里斯多德,重複的行為塑造出我們，所以，卓越不是一種行為，而是一種習慣。
自我認識／省察,康德,誠實比一切智謀更好，而且它是智謀的基本條件。
自我認識／省察,康德,自由即自律。
自我認識／省察,康德,大海之所以偉大，除了它美麗、壯闊、坦蕩外，還有一種自我淨化的功能。
自我認識／省察,康德,人，實則一切有理性者，所以存在，是由於自身是個目的， 並不是只供這個或那個意志利用的工具。
自我認識／省察,笛卡兒,懷疑是智慧的源頭。
自我認識／省察,笛卡兒,讀好書，有如探訪著書的先賢，同他們促膝談心，而且是一種精湛的交談。
自我認識／省察,笛卡兒,僅僅具備出色的智力是不夠的，主要的問題是如何出色地使用它。
自我認識／省察,黑格爾,人類從歷史學到的唯一教訓，就是人類沒有從歷史汲取任何教訓。
自我認識／省察,黑格爾,只有那些永遠躺在坑裡從不仰望高空的人，才不會掉進坑裡。
自我認識／省察,斯賓諾莎,害羞是畏懼或害怕羞辱的情緒，這種情緒可以阻止人去做某些卑鄙的行為。
自我認識／省察,杜斯妥也夫斯基,人之所以不幸，是因為他不知道他是幸福的；僅僅是這個原因。這就是一切，一切！誰要是明白了這一點，他此時此刻馬上就會變得幸福起來。
自我認識／省察,杜斯妥也夫斯基,富裕的本質不是減輕煩惱，而是變換煩惱而已。
